,input_lst_layer,lstm_activations,time_steps,dropout,train_mse,train_mae,test_mse,test_mae,type_model
0,relu,relu,15,0.2,2.069246768951416,1.1567440032958984,2.0479116439819336,1.138824462890625,1
1,linear,relu,15,0.2,1.6863224506378174,1.0058139562606812,1.6877198219299316,0.9990755915641785,1
2,tanh,relu,15,0.2,3.022775650024414,1.4269105195999146,3.350130081176758,1.520082950592041,1
3,relu,linear,15,0.2,1.6468440294265747,0.987162172794342,1.6367733478546143,0.9745644330978394,1
4,linear,linear,15,0.2,1.6068035364151,0.9632588028907776,1.629280686378479,0.9693179726600647,1
5,tanh,linear,15,0.2,2.663785696029663,1.3486968278884888,2.8732070922851562,1.4204638004302979,1
6,relu,tanh,15,0.2,2.2730917930603027,1.1393526792526245,2.8251194953918457,1.295838713645935,1
7,linear,tanh,15,0.2,1.596311092376709,0.9650473594665527,1.7136346101760864,1.0107179880142212,1
8,tanh,tanh,15,0.2,1.811661958694458,1.0606907606124878,1.877803087234497,1.0933492183685303,1
9,relu,relu,15,0.5,1.82610285282135,1.0673065185546875,1.7336912155151367,1.0165150165557861,1
10,linear,relu,15,0.5,2.3732926845550537,1.2606852054595947,2.3051869869232178,1.2214189767837524,1
11,tanh,relu,15,0.5,2.561612844467163,1.2915343046188354,2.837353229522705,1.3864336013793945,1
12,relu,linear,15,0.5,2.2668285369873047,1.1425368785858154,2.7051827907562256,1.286679983139038,1
13,linear,linear,15,0.5,1.8418865203857422,1.0068166255950928,2.0978240966796875,1.0972236394882202,1
14,tanh,linear,15,0.5,2.3077592849731445,1.2255771160125732,2.440095901489258,1.2729836702346802,1
15,relu,tanh,15,0.5,2.0837533473968506,1.1652942895889282,2.1254682540893555,1.2128576040267944,1
16,linear,tanh,15,0.5,3.6977269649505615,1.6103585958480835,3.870175361633301,1.6753592491149902,1
17,tanh,tanh,15,0.5,1.9263107776641846,1.064321756362915,2.072821617126465,1.137258768081665,1
18,relu,relu,30,0.2,1.7551535367965698,1.045108675956726,1.7859125137329102,1.0540257692337036,1
19,linear,relu,30,0.2,1.530611515045166,0.9299787282943726,1.6989179849624634,0.9758444428443909,1
20,tanh,relu,30,0.2,1.656377911567688,0.9752424359321594,1.8345569372177124,1.024336814880371,1
21,relu,linear,30,0.2,1.8794435262680054,1.0985145568847656,1.842449426651001,1.0761463642120361,1
22,linear,linear,30,0.2,1.460250973701477,0.9068846702575684,1.6753913164138794,0.9735435843467712,1
23,tanh,linear,30,0.2,2.2379508018493652,1.2007019519805908,2.7139205932617188,1.360046625137329,1
24,relu,tanh,30,0.2,1.6751554012298584,1.00218665599823,1.8486051559448242,1.0631017684936523,1
25,linear,tanh,30,0.2,1.5938801765441895,0.969572126865387,1.8372268676757812,1.0762064456939697,1
26,tanh,tanh,30,0.2,1.6142491102218628,0.9507117867469788,1.7845499515533447,1.0011332035064697,1
27,relu,relu,30,0.5,1.8765345811843872,1.0754954814910889,1.8660105466842651,1.0708065032958984,1
28,linear,relu,30,0.5,1.6558778285980225,0.9843712449073792,1.7246440649032593,0.9922415018081665,1
29,tanh,relu,30,0.5,2.6587913036346436,1.3226796388626099,3.345113754272461,1.5457602739334106,1
30,relu,linear,30,0.5,2.086544990539551,1.1682519912719727,2.1584479808807373,1.1763917207717896,1
31,linear,linear,30,0.5,1.725150465965271,0.977211058139801,2.0018787384033203,1.0459628105163574,1
32,tanh,linear,30,0.5,2.1601359844207764,1.1128923892974854,2.5667383670806885,1.2355937957763672,1
33,relu,tanh,30,0.5,2.9194746017456055,1.4053453207015991,2.5352659225463867,1.3169490098953247,1
34,linear,tanh,30,0.5,1.6368865966796875,0.961286723613739,1.826224446296692,1.020097255706787,1
35,tanh,tanh,30,0.5,1.8221757411956787,1.0514956712722778,1.9043238162994385,1.0958855152130127,1
36,relu,relu,15,0.2,14.675602912902832,3.3452060222625732,17.05292320251465,3.7304131984710693,2
37,linear,relu,15,0.2,15.955928802490234,3.4558048248291016,18.465147018432617,3.862428665161133,2
38,tanh,relu,15,0.2,11.79989242553711,2.980259418487549,13.77928352355957,3.314946413040161,2
39,relu,linear,15,0.2,12.72215747833252,3.1245999336242676,14.812094688415527,3.493151903152466,2
40,linear,linear,15,0.2,11.470983505249023,2.938120126724243,13.16720962524414,3.252595901489258,2
41,tanh,linear,15,0.2,12.514537811279297,3.079486608505249,14.542205810546875,3.413571357727051,2
42,relu,tanh,15,0.2,12.40917682647705,3.0190210342407227,14.461348533630371,3.392909288406372,2
43,linear,tanh,15,0.2,12.371550559997559,3.017133951187134,14.391108512878418,3.3506648540496826,2
44,tanh,tanh,15,0.2,18.7430419921875,3.7681851387023926,22.227842330932617,4.303654670715332,2
45,relu,relu,15,0.5,75.65801239013672,7.765511512756348,90.17892456054688,8.843241691589355,2
46,linear,relu,15,0.5,76.54895782470703,7.775785446166992,92.16265869140625,8.93560791015625,2
47,tanh,relu,15,0.5,69.1658935546875,7.445944786071777,82.9668960571289,8.501315116882324,2
48,relu,linear,15,0.5,77.57402801513672,7.822871685028076,93.1897201538086,8.980066299438477,2
49,linear,linear,15,0.5,70.60948944091797,7.461455821990967,84.59522247314453,8.548126220703125,2
50,tanh,linear,15,0.5,72.80852508544922,7.584230899810791,87.47573852539062,8.681912422180176,2
51,relu,tanh,15,0.5,76.3473129272461,7.723910808563232,92.1373062133789,8.892230987548828,2
52,linear,tanh,15,0.5,70.80261993408203,7.490140438079834,84.66974639892578,8.54565715789795,2
53,tanh,tanh,15,0.5,80.88713836669922,8.074020385742188,97.93753814697266,9.274521827697754,2
54,relu,relu,30,0.2,302.4593200683594,15.555232048034668,329.7432556152344,17.060195922851562,2
55,linear,relu,30,0.2,13.861050605773926,3.224067211151123,14.701796531677246,3.453608512878418,2
56,tanh,relu,30,0.2,10.753589630126953,2.718012571334839,11.415046691894531,2.9097683429718018,2
57,relu,linear,30,0.2,12.342589378356934,3.0335886478424072,12.638023376464844,3.163858413696289,2
58,linear,linear,30,0.2,14.937487602233887,3.327345848083496,15.911992073059082,3.592257022857666,2
59,tanh,linear,30,0.2,15.255563735961914,3.4092156887054443,17.23994255065918,3.768782377243042,2
60,relu,tanh,30,0.2,14.256226539611816,3.2717268466949463,15.953969955444336,3.6059956550598145,2
61,linear,tanh,30,0.2,12.507404327392578,2.9912261962890625,13.191179275512695,3.194157361984253,2
62,tanh,tanh,30,0.2,10.901387214660645,2.88602614402771,11.436932563781738,3.043963670730591,2
63,relu,relu,30,0.5,80.68301391601562,7.997300148010254,86.65754699707031,8.681471824645996,2
64,linear,relu,30,0.5,75.09915924072266,7.715968608856201,80.76351928710938,8.380895614624023,2
65,tanh,relu,30,0.5,71.77033996582031,7.596426486968994,76.57044982910156,8.179089546203613,2
66,relu,linear,30,0.5,75.09675598144531,7.770423889160156,80.09901428222656,8.381155967712402,2
67,linear,linear,30,0.5,81.54254150390625,8.042631149291992,87.68136596679688,8.757360458374023,2
68,tanh,linear,30,0.5,79.1767578125,7.939996242523193,85.29730987548828,8.609847068786621,2
69,relu,tanh,30,0.5,80.69293975830078,7.974140644073486,86.6213150024414,8.673321723937988,2
70,linear,tanh,30,0.5,79.657958984375,7.963656902313232,87.9863052368164,8.77145004272461,2
71,tanh,tanh,30,0.5,74.08800506591797,7.658724308013916,78.66331481933594,8.265726089477539,2
