Date,Min_Temperature,Max_Temperature
2013-1,2.1,11.1
2013-2,6.5,12.6
2013-3,7.1,15.6
2013-4,12.1,22.4
2013-5,16.6,24.9
2013-6,19.5,29.2
2013-7,23.5,30.5
2013-8,24.0,29.9
2013-9,19.0,27.4
2013-10,13.3,21.9
2013-11,9.6,17.2
2013-12,4.1,13.4
2014-1,6.9,12.4
2014-2,6.0,12.5
2014-3,6.8,14.0
2014-4,10.1,17.9
2014-5,14.7,23.1
2014-6,17.1,31.1
2014-7,23.6,29.2
2014-8,24.2,30.4
2014-9,16.6,25.8
2014-10,12.2,23.5
2014-11,7.9,16.2
2014-12,1.9,14.7
2015-1,1.6,12.8
2015-2,1.2,14.7
2015-3,6.6,13.2
2015-4,6.9,17.9
2015-5,15.5,24.6
2015-6,18.6,27.1
2015-7,21.2,31.6
2015-8,24.7,29.8
2015-9,18.1,30.8
2015-10,12.2,20.7
2015-11,11.4,16.9
2015-12,1.5,13.2
2016-1,2.0,13.2
2016-2,5.6,14.9
2016-3,7.8,14.8
2016-4,13.8,21.9
2016-5,13.8,26.9
2016-6,20.0,32.1
2016-7,24.5,30.1
2016-8,22.3,29.3
2016-9,17.9,26.8
2016-10,12.8,23.6
2016-11,5.7,18.6
2016-12,2.3,10.8
2017-1,-0.6,9.0
2017-2,3.7,11.7
2017-3,7.7,14.7
2017-4,9.1,20.5
2017-5,14.1,27.0
2017-6,19.3,33.1
2017-7,20.7,33.2
2017-8,22.2,30.9
2017-9,16.2,28.6
2017-10,13.7,21.2
2017-11,8.6,15.3
2017-12,4.2,14.1
2018-1,3.8,10.7
2018-2,7.3,11.0
2018-3,8.4,14.5
2018-4,13.2,21.2
2018-5,17.2,23.0
2018-6,19.2,27.6
2018-7,23.8,30.8
2018-8,22.0,27.0
2018-9,14.6,26.2
2018-10,14.1,19.9
2018-11,6.8,19.5
2018-12,4.5,12.2
2019-1,1.8,9.9
2019-2,1.9,11.5
2019-3,6.7,12.9
2019-4,10.8,18.7
2019-5,13.5,22.5
2019-6,19.1,29.1
2019-7,20.9,30.9
2019-8,24.7,31.1
2019-9,18.9,26.0
2019-10,16.7,23.1
2019-11,12.3,18.5
2019-12,3.4,13.4
2020-1,3.4,10.8
2020-2,4.5,12.2
2020-3,7.1,14.6
2020-4,7.7,17.6
2020-5,14.1,27.5
2020-6,17.4,28.4
2020-7,23.9,30.3
2020-8,24.3,30.5
2020-9,19.0,29.6
2020-10,15.3,25.4
2020-11,9.9,16.2
2020-12,8.7,12.9
2021-1,2.4,15.2
2021-2,1.1,12.6
2021-3,5.2,12.7
2021-4,8.0,20.3
2021-5,16.9,26.1
2021-6,17.9,31.0
2021-7,25.2,32.8
2021-8,25.8,34.0
2021-9,17.7,27.6
2021-10,12.5,19.3
2021-11,10.3,18.2
2021-12,4.2,12.8
2022-1,0.2,10.7
2022-2,5.3,12.4
2022-3,1.9,12.8
2022-4,9.6,19.2
2022-5,12.8,25.7
2022-6,21.4,30.7
2022-7,22.0,30.7
2022-8,21.5,30.1
2022-9,16.4,27.1
2022-10,14.6,24.0
2022-11,9.2,18.5
2022-12,6.8,15.1
2023-1,9.7,9.7
